id,host_id,host_name,neighbourhood_cleansed,price_clean,availability_365,calculated_host_listings_count,license,eustat_renta_media_hogar,osm_densidad_ocio_500m,osm_distancia_costa_monumento_m,idealista_m2_mes,catastro_m2_real,dias_ocupados_reales,estado_licencia_auditada,y_fraude_administrativo,indice_rotacion_booking,eustat_variacion_poblacion_5anos,ingreso_mensual_turistico,ingreso_mensual_tradicional,ratio_especulacion_real,indice_desertizacion_comercial,indice_desplazamiento_vecinal,y_especulador
75682867,851883,Ane,Donostia-San Sebastián,72.0,104,4,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,122,CORREGIDA_EBI014636,0,28.8,-6.12,1584.0,1333.8000000000002,1.19,53.9,33.4,0
66755036,277900,Amaia,Bilbao,55.0,275,2,EBI00456,29400.0,24,350.0,13.8,72.0,181,OK_EBI00456,0,71.2,-3.75,1210.0,993.6,1.22,63.5,49.6,0
66882282,672212,Ane,Vitoria-Gasteiz,250.0,292,4,ESS00123,34200.0,8,1400.0,9.5,85.0,293,OK_ESS00123,0,80.0,-3.6,5500.0,807.5,6.81,41.2,80.3,1
31081788,436326,Gorka,Bilbao,211.0,252,11,EBI00456,29400.0,24,350.0,13.8,72.0,114,OK_EBI00456,0,72.9,-5.3100000000000005,4642.0,993.6,4.67,61.2,31.2,1
23315092,324137,Gorka,Bilbao,291.0,110,11,EBI00456,29400.0,24,350.0,13.8,72.0,121,OK_EBI00456,0,32.1,-6.11,6402.0,993.6,6.44,47.0,33.2,1
45788921,552268,Mikel,Donostia-San Sebastián,91.0,273,10,EBI00456,38500.0,29,120.0,17.1,78.0,278,OK_EBI00456,0,74.3,-6.3100000000000005,2002.0,1333.8000000000002,1.5,70.8,76.2,0
36735830,397881,Gorka,Bilbao,290.0,210,6,Exento,29400.0,24,350.0,13.8,72.0,112,OK_EXENTO,0,56.8,-6.1,6380.0,993.6,6.42,57.0,30.7,1
41632483,463476,Mikel,Donostia-San Sebastián,171.0,334,11,EBI00456,38500.0,29,120.0,17.1,78.0,142,OK_EBI00456,0,90.5,-7.11,3762.0,1333.8000000000002,2.82,76.9,38.9,1
86737383,451707,Maite,Vitoria-Gasteiz,191.0,135,7,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,230,CORREGIDA_EBI014636,0,37.3,-3.01,4202.0,807.5,5.2,25.5,63.0,1
98358551,784733,Ane,Vitoria-Gasteiz,162.0,279,3,ESS00123,34200.0,8,1400.0,9.5,85.0,159,OK_ESS00123,0,75.3,-2.72,3564.0,807.5,4.41,39.9,43.6,1
98409749,610585,Iker,Vitoria-Gasteiz,196.0,246,3,ESS00123,34200.0,8,1400.0,9.5,85.0,293,OK_ESS00123,0,67.4,-3.06,4312.0,807.5,5.34,36.6,80.3,1
