id,host_id,host_name,neighbourhood_cleansed,price_clean,availability_365,calculated_host_listings_count,license,eustat_renta_media_hogar,osm_densidad_ocio_500m,osm_distancia_costa_monumento_m,idealista_m2_mes,catastro_m2_real,dias_ocupados_reales
75682867,851883,Ane,Donostia-San Sebastián,72.0,104,4,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,122
66755036,277900,Amaia,Bilbao,55.0,275,2,EBI00456,29400.0,24,350.0,13.8,72.0,181
66882282,672212,Ane,Vitoria-Gasteiz,250.0,292,4,ESS00123,34200.0,8,1400.0,9.5,85.0,293
31081788,436326,Gorka,Bilbao,211.0,252,11,EBI00456,29400.0,24,350.0,13.8,72.0,114
23315092,324137,Gorka,Bilbao,291.0,110,11,EBI00456,29400.0,24,350.0,13.8,72.0,121
45788921,552268,Mikel,Donostia-San Sebastián,91.0,273,10,EBI00456,38500.0,29,120.0,17.1,78.0,278
36735830,397881,Gorka,Bilbao,290.0,210,6,Exento,29400.0,24,350.0,13.8,72.0,112
41632483,463476,Mikel,Donostia-San Sebastián,171.0,334,11,EBI00456,38500.0,29,120.0,17.1,78.0,142
86737383,451707,Maite,Vitoria-Gasteiz,191.0,135,7,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,230
98358551,784733,Ane,Vitoria-Gasteiz,162.0,279,3,ESS00123,34200.0,8,1400.0,9.5,85.0,159
98409749,610585,Iker,Vitoria-Gasteiz,196.0,246,3,ESS00123,34200.0,8,1400.0,9.5,85.0,293
14981505,791757,Maite,Bilbao,116.0,348,10,ESS00123,29400.0,24,350.0,13.8,72.0,246
23953367,490719,Gorka,Donostia-San Sebastián,181.0,87,8,EBI00456,38500.0,29,120.0,17.1,78.0,287
95652971,579361,Maite,Vitoria-Gasteiz,219.0,239,5,EBI00456,34200.0,8,1400.0,9.5,85.0,138
14521373,201371,Maite,Donostia-San Sebastián,63.0,312,4,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,148
13344769,662997,Maite,Donostia-San Sebastián,239.0,185,7,Exento,38500.0,29,120.0,17.1,78.0,200
86893497,292192,Gorka,Vitoria-Gasteiz,219.0,236,7,EBI00456,34200.0,8,1400.0,9.5,85.0,209
40349564,250322,Iker,Vitoria-Gasteiz,185.0,96,9,ESFCTU00004802700008399400000000000000000000EBI014636,34200.0,8,1400.0,9.5,85.0,282
52860080,121172,Amaia,Donostia-San Sebastián,290.0,158,9,ESS00123,38500.0,29,120.0,17.1,78.0,126
87751354,635843,Maite,Vitoria-Gasteiz,137.0,157,5,SIN_REGISTRO,34200.0,8,1400.0,9.5,85.0,165
72250665,677564,Mikel,Donostia-San Sebastián,283.0,186,8,EBI00456,38500.0,29,120.0,17.1,78.0,155
76209791,681780,Gorka,Donostia-San Sebastián,249.0,227,10,EBI00456,38500.0,29,120.0,17.1,78.0,176
56792155,808362,Maite,Vitoria-Gasteiz,92.0,139,1,Exento,34200.0,8,1400.0,9.5,85.0,251
31498555,613319,Iker,Bilbao,289.0,353,9,EBI00456,29400.0,24,350.0,13.8,72.0,176
70221198,880298,Amaia,Vitoria-Gasteiz,172.0,185,8,ESS00123,34200.0,8,1400.0,9.5,85.0,132
89757501,976031,Gorka,Bilbao,61.0,209,6,EBI00456,29400.0,24,350.0,13.8,72.0,203
26861870,322320,Jon,Donostia-San Sebastián,115.0,75,3,EBI00456,38500.0,29,120.0,17.1,78.0,260
62286002,517978,Amaia,Donostia-San Sebastián,313.0,87,3,SIN_REGISTRO,38500.0,29,120.0,17.1,78.0,264
42049003,111046,Mikel,Bilbao,51.0,232,8,EBI00456,29400.0,24,350.0,13.8,72.0,163
71136438,328071,Maite,Donostia-San Sebastián,147.0,105,5,ESFCTU00004802700008399400000000000000000000EBI014636,38500.0,29,120.0,17.1,78.0,247
72194931,478165,Iker,Bilbao,237.0,295,10,EBI00456,29400.0,24,350.0,13.8,72.0,186
75285250,808662,Jon,Bilbao,285.0,273,11,EBI00456,29400.0,24,350.0,13.8,72.0,125
79537252,516366,Iker,Donostia-San Sebastián,106.0,144,7,Exento,38500.0,29,120.0,17.1,78.0,150
